,Country Name,indicator,Indicator Name_y,Indicator Name_x,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Type
10,Belgium,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",162.2303063,753.7324344,619.4726094,643.8106406,843.3140781,763.1362891,844.1381875,1061.076,932.7482812999999,906.8078906,311.2671484,535.4222070000001,500.31804689999996,973.1117383,1209.848984,1034.624844,1014.620195,714.676582,717.3752266,520.5346093999999,812.9981406,861.1109531,619.4556719,2053.8114379999997,2364.151156,2628.282094,2596.656445,2460.675195,2114.3269530000002,2440.193359,3548.2689450000003,3478.896387,3573.2365229999996,3669.1732420000003,4259.128125,4820.067187,6267.43125,10676.797279999999,9849.073637000001,20736.53464,21937.68838,Tobacco
11,Benin,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",27873.389919999998,30056.98145,24030.45836,25524.619469999998,26131.49985,30389.92095,26143.62619,28368.499689999997,34776.20481,29399.2942,33775.02329,31624.1622,31494.3207,28854.95011,29117.913210000002,30344.43701,28242.17832,30507.2817,37946.07191,30718.592989999997,35423.95549,33058.012910000005,32922.54709,36374.3107,35450.82872,36124.250980000004,40549.89445,33932.90773,30868.77923,23685.13559,37111.76569,27535.16946,21671.24241,38476.19139,25069.08307,26032.20045,21064.39952,21054.38111,16372.582180000001,16290.883530000001,16260.339769999999,Tobacco
12,Burkina Faso,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-224.8582142,-170.035318,-169.6450378,-222.93364219999998,-141.36275080000001,-155.69641140000002,-143.0716544,-163.4269581,-133.302621,-133.8069178,-144.25283819999999,-113.18182820000001,-94.65668099,-114.50619669999999,-47.1789359,-193.0602365,-100.3515967,-156.22234,-15.71205499,-95.35221971,-158.1935841,-129.8794308,-223.8069733,-249.9649884,-223.29816769999996,-83.85982117,29652.1961,26236.50286,30669.258869999998,24203.44902,33267.59609,26088.431959999998,24656.28686,28132.158,21027.14913,20936.29005,17873.522090000002,19868.6519,19409.333290000002,19368.754269999998,19322.76341,Tobacco
13,Bangladesh,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",8566.611487,8598.216989,8782.108897,8801.209329000001,8897.515386,9204.350398,9250.775759,9293.712571,9390.661748,9426.884141,9535.282205,9629.438240000001,11700.832059999999,9725.517001999999,9828.04291,8522.959048,9717.577158,9824.93502,9932.507114,9940.384922,9581.588193000001,9425.98812,9464.680625,9634.096884999999,9699.709238,9731.14,-601.9572266,3657.871289,-74.56513672,901.4752538999999,-1053.220947,-1279.04773,-549.6143203,-2829.042645,-1903.713477,-1618.834082,-5675.411816,-8769.511456,-11411.24524,-9720.517104999999,-9405.990022,Tobacco
14,Bulgaria,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-2172.2061519999997,-2489.043164,-3151.564355,-3044.909375,-3239.093066,-3084.568457,47.87578125,583.3577147999999,534.9701953,441.5276563,-115.9592187,-292.4764062,-615.7463379,-407.09790039999996,-486.25081050000006,-1120.791367,14.24181641,8.5234375,1213.7068550000001,49.68955664,-32.48845898,-922.5263086000001,-679.8644824,-2.302853516,-85.81489062,846.4043887,138.5756367,280.91210739999997,343.5018262,1374.2484359999999,218.87382889999998,499.02777230000004,798.6674121,-23.64772734,317.28124219999995,-752.1850449,1588.232426,3397.9513369999995,2867.036043,2878.652742,-1507.1436449999999,Tobacco
15,Brazil,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",720044.1873,603518.1247,645415.7947,728692.0736,841514.5993,653738.6917,787376.8376,831776.0124,885050.4246,805651.2929,849106.0077,866006.8797,687466.5235,727147.3092,770917.3626,933248.6989,792279.2159,800860.0024,913902.1101,865631.2485,916464.1228,1003404.525,716430.8373,786356.6081,812287.3148,819051.0917,1384347.971,734052.418,377540.2305,390635.7383,678990.6133,671314.5781,937815.1953,1304112.027,667896.957,1726454.148,525785.1016,231242.2701,1831517.5869999998,1834973.898,1845285.0669999998,Tobacco
16,Bhutan,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-481.1948685,-639.0180735,-663.6720462000001,-651.2422657999999,-567.7116706,-273.40921119999996,-604.0920576000001,-427.24800530000005,-546.9584021000001,-501.55526629999997,-515.1145686000001,-646.0731135999999,-591.9197479,-567.2243949,-506.1672881,-453.2870156,-451.4332584,-528.6140483,-551.7701436000001,-552.4230173,-453.6025875,-386.7318073,-588.5937789,-437.7970983,-433.9433931,-499.2123966,-160.1191101,1459.598391,383.7360036,-203.6114043,-77.98079251,-199.31689319999998,-202.7315988,-240.0619954,-281.4238869,254.0900972,-339.369283,-548.5662078,-224.910112,-400.14077139999995,-392.9023414,Tobacco
17,Central African Republic,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",39808.62177,42791.620610000005,34316.95341,36330.81267,37074.48887,42938.28491,36916.445889999995,39930.754160000004,48794.55891,41193.67329,47211.92462,44118.54895,43847.50442,40074.33672,40439.5817,42014.70039,39173.01824,42313.86569,52749.73807,42619.42751,49173.43687,45870.71501,45630.80199,50445.09363,49177.34176,50065.08228,499544.958,383554.7395,441306.3684,375133.5961,300287.5068,476015.8657,292637.3396,399220.7733,396036.4542,374766.7585,390876.0805,267410.2552,328297.2292,328297.4862,328300.9223,Tobacco
18,Canada,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-78390.89922,-78205.04609,-69697.69922000001,-66668.15156,-37536.096880000005,-54865.45469,-78639.19859,-9422.953125,30250.59375,36788.15,-43751.00625,-45743.245310000006,-70242.69375,-66521.35938,-62697.3,-70002.15469,-55033.1,64806.35,-69238.10469,-60101.80469,-88942.4,-68127.00156,16370.10156,417.1015625,-104992.5078,-113148.0016,267967.1094,-11712.80469,-114693.8047,-153217.9125,17549.39063,75621.29688,149835.6094,-20527.70313,51323.19531,37291.29688,40772.71094,-66108.65443,-61185.445320000006,209366.0543,196078.1549,Tobacco
19,Switzerland,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",386.2618652,1174.2338960000002,1112.709888,1166.8961960000001,816.8612051,1550.115967,1692.671323,1363.9420599999999,1579.389067,2285.108826,1164.360674,2173.857207,1396.599492,1925.611743,1676.781848,3509.6685450000004,1862.69613,2570.0670920000002,1711.1042920000002,1164.040742,974.9730957,1009.6456880000001,1870.4973,935.3866504000001,665.0015664,1217.0874880000001,210.6934082,411.30541989999995,74.69077656,169.266748,248.7250977,601.3370605,750.1875977000001,827.2185059,1218.491406,1537.1212890000002,2510.142432,2750.505078,2801.66502,2949.275837,3930.7400039999998,Tobacco
