,Country Name,Indicator Name_x,1972_x,1973_x,1974_x,1975_x,1976_x,1977_x,1978_x,1979_x,1980_x,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,Indicator Name_y,1972_y,1973_y,1974_y,1975_y,1976_y,1977_y,1978_y,1979_y,1980_y,1981_y,1982_y,1983_y,1984_y,1985_y,1986_y,1987_y,1988_y,1989_y,1990_y,1991_y,1992_y,1993_y,1994_y,1995_y,1996_y,1997_y,1998_y,1999_y,2000_y,2001_y,2002_y,2003_y,2004_y,2005_y,2006_y,2007_y,2008_y,2009_y,2010_y,2011_y,2012_y,"('Value', 1972)","('Value', 1973)","('Value', 1974)","('Value', 1975)","('Value', 1976)","('Value', 1977)","('Value', 1978)","('Value', 1979)","('Value', 1980)","('Value', 1981)","('Value', 1982)","('Value', 1983)","('Value', 1984)","('Value', 1985)","('Value', 1986)","('Value', 1987)","('Value', 1988)","('Value', 1989)","('Value', 1990)","('Value', 1991)","('Value', 1992)","('Value', 1993)","('Value', 1994)","('Value', 1995)","('Value', 1996)","('Value', 1997)","('Value', 1998)","('Value', 1999)","('Value', 2000)","('Value', 2001)","('Value', 2002)","('Value', 2003)","('Value', 2004)","('Value', 2005)","('Value', 2006)","('Value', 2007)","('Value', 2008)","('Value', 2009)","('Value', 2010)","('Value', 2011)","('Value', 2012)","('Value', 2013)","('AverageTemperature', 'mean', 1971)","('AverageTemperature', 'mean', 1972)","('AverageTemperature', 'mean', 1973)","('AverageTemperature', 'mean', 1974)","('AverageTemperature', 'mean', 1975)","('AverageTemperature', 'mean', 1976)","('AverageTemperature', 'mean', 1977)","('AverageTemperature', 'mean', 1978)","('AverageTemperature', 'mean', 1979)","('AverageTemperature', 'mean', 1980)","('AverageTemperature', 'mean', 1981)","('AverageTemperature', 'mean', 1982)","('AverageTemperature', 'mean', 1983)","('AverageTemperature', 'mean', 1984)","('AverageTemperature', 'mean', 1985)","('AverageTemperature', 'mean', 1986)","('AverageTemperature', 'mean', 1987)","('AverageTemperature', 'mean', 1988)","('AverageTemperature', 'mean', 1989)","('AverageTemperature', 'mean', 1990)","('AverageTemperature', 'mean', 1991)","('AverageTemperature', 'mean', 1992)","('AverageTemperature', 'mean', 1993)","('AverageTemperature', 'mean', 1994)","('AverageTemperature', 'mean', 1995)","('AverageTemperature', 'mean', 1996)","('AverageTemperature', 'mean', 1997)","('AverageTemperature', 'mean', 1998)","('AverageTemperature', 'mean', 1999)","('AverageTemperature', 'mean', 2000)","('AverageTemperature', 'mean', 2001)","('AverageTemperature', 'mean', 2002)","('AverageTemperature', 'mean', 2003)","('AverageTemperature', 'mean', 2004)","('AverageTemperature', 'mean', 2005)","('AverageTemperature', 'mean', 2006)","('AverageTemperature', 'mean', 2007)","('AverageTemperature', 'mean', 2008)","('AverageTemperature', 'mean', 2009)","('AverageTemperature', 'mean', 2010)","('AverageTemperature', 'mean', 2011)","('AverageTemperature', 'mean', 2012)","('AverageTemperature', 'mean', 2013)"
78,Puerto Rico,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-509.07777410000006,-476.5969789,-420.4616978,-401.5073638,-427.28010710000007,-409.6990988,-387.8753162,-199.4505216,-177.7807783,-181.96690619999998,-131.5925906,-222.84661519999997,-233.7373086,-175.0099845,-149.9799935,-152.9293053,-165.8245659,-214.5910692,-29.99782307,-14.73872655,-35.48647388,-20.53391421,-34.66571688,-38.92848925,-45.37117094,-79.85288620000001,-229.20777230000002,-299.9947781,-317.9741662,-275.59148500000003,-292.8487356,-297.9832784,-271.5838026,-255.0095931,-225.14329730000003,-211.74770409999996,-163.832298,-22.14332484,-29.19253028,-5.143865694,-4.125375013,Total greenhouse gas emissions (kt of CO2 equivalent),2574.15736,2631.51096,2641.27376,2530.02781,2545.7889,2512.5331,2532.1591,2520.57977,2430.04067,2437.51321,2480.23575,2445.1826,2520.0804,2536.6436,2605.3631,2619.42452,2748.1712,2857.9248,2941.1635,3012.328,2740.32789,2832.01866,2912.4794899999997,2888.34827,2947.38742,2996.51629,2864.8891399999998,2912.54867,2963.2741100000003,3010.80039,3031.48013,3095.28599,3098.9439899999998,3118.66669,3105.7168,3064.31024,3067.96985,3119.069383,3199.2456829999996,3247.5200010000003,3293.25488,16158.0,16165.0,16277.0,19772.0,17159.0,15199.0,15440.0,14560.0,15087.0,15487.0,19237.0,19241.0,15855.0,15685.0,16610.0,24359.0,17436.0,14750.0,11111.0,8889.0,12500.0,12500.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10106.0,10000.0,10000.0,10000.0,10000.0,10000.0,9946.0,9981.0,10047.0,10036.0,10024.0,10013.0,25.361916666666662,25.5705,25.716416666666664,25.279583333333335,25.34691666666667,25.285166666666665,25.778000000000002,25.83975,25.738249999999997,26.199749999999998,26.14433333333334,25.74966666666667,26.194083333333335,25.64425000000001,25.587083333333336,25.694583333333338,26.293333333333333,25.961416666666665,25.61741666666667,25.939750000000004,25.879666666666665,25.899166666666662,26.01483333333334,26.13008333333333,26.256583333333328,25.858499999999996,26.316000000000003,26.633083333333335,26.05258333333333,25.786500000000004,26.27025,26.482,26.510666666666665,26.099500000000003,26.429666666666673,26.452249999999996,26.617833333333337,26.098333333333333,26.337999999999997,26.63825,26.220833333333328,26.469583333333336,26.28322222222222
79,Portugal,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",284.63660350000004,301.6276141,262.7890371,285.68796760000004,355.7667027,365.9413875,382.5062066,455.1307938,598.3851758,488.80202149999997,700.810625,654.5122558999999,734.8214941000001,585.5306055,877.7261426000001,587.9225586,732.9836328,752.4601757999999,1059.467926,1157.808484,1270.196372,1279.001716,682.4151347999999,1219.158273,1121.0176789999998,1666.761098,8282.892715,3224.861563,6781.091641,4879.216093999999,3720.912676,9755.686836,4150.754648,15270.52549,2878.919551,1175.379117,-913.1809102,1042.453921,2603.0510059999997,3646.368242,6775.189983,Total greenhouse gas emissions (kt of CO2 equivalent),29552.2065,32090.4437,31551.939,33239.2002,34557.8804,35246.6047,37256.3209,40296.2952,41434.738,43003.045999999995,43633.787000000004,44334.473,42653.197,41504.109,45719.913,46131.848,47741.33,56692.545999999995,58227.179000000004,60330.057,64299.6533,63334.9452,64486.0265,69204.4065,67633.1028,70751.8317,83126.729,84722.774,88594.19099999999,85398.97099999999,88319.252,89900.198,84930.561,101594.256,81336.945,79399.304,74433.765,75492.50343,71681.46844,71977.88701,72524.21851,18400.0,14200.0,15400.0,16742.0,19818.0,21333.0,20852.0,19812.0,19731.0,20253.0,19544.0,19731.0,20300.0,19425.0,21385.0,19617.0,19603.0,23279.0,21711.0,22138.0,19795.0,12943.0,26310.0,24614.0,27124.0,23324.0,26509.0,26440.0,28952.0,28535.0,29469.0,29171.0,29961.0,29351.0,29052.0,29594.0,31581.0,34126.0,33429.0,23214.0,29048.0,26111.0,14.277000000000001,13.878,14.614583333333334,14.383249999999999,14.477416666666665,14.590833333333334,14.587666666666669,14.826666666666666,14.752083333333333,14.841416666666667,15.4955,15.071916666666667,15.070000000000002,14.60425,15.154416666666664,14.729999999999999,15.60558333333333,15.099416666666665,16.062083333333334,15.742750000000001,15.232833333333332,15.111333333333334,14.520166666666666,15.312833333333336,16.34741666666667,15.296333333333335,16.267583333333334,15.645000000000001,15.27908333333333,15.392999999999999,15.40775,15.463166666666666,15.81583333333333,15.463833333333335,15.536916666666665,16.002583333333334,15.241083333333334,15.269999999999998,15.983499999999998,15.68425,16.066416666666665,15.392166666666666,15.88925
80,Paraguay,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",29831.80047,24671.74192,26515.458740000002,30095.486269999998,35000.628580000004,26622.73671,32419.3857,34264.05448,36503.21256,32926.07842,34773.06308,35449.73712,27550.047360000004,29199.50565,31140.4577,38224.30457,31849.996839999996,32149.11228,37203.00545,35001.37682,37255.833269999996,40995.39661,28335.916989999998,31472.065,32687.534910000002,33022.17725,21158.76931,101752.4857,12804.22182,53924.44433,52535.72900000001,54635.59462,41433.74756,62141.677760000006,41397.24012,112535.9375,27928.792019999997,20531.6735,19900.05541,19885.61651,19796.1306,Total greenhouse gas emissions (kt of CO2 equivalent),45585.112,39123.162000000004,41939.297999999995,47300.885,54928.72900000001,44312.747,52368.517,54650.206,57665.157,53699.223,56702.282999999996,57913.725,47853.32,50816.032999999996,53736.772000000004,64036.84099999999,56178.551,56827.397000000004,63833.492,59605.441,63670.88,70228.07,54360.232,60568.495,62323.21,63388.761,48081.505999999994,136601.13,39439.471,86905.95300000001,83003.02799999999,83847.271,69049.055,90747.006,67108.715,138575.697,54092.028,46875.59658,50027.503,50445.1164,50843.9542,13437.0,13088.0,13393.0,13740.0,13877.0,13901.0,12520.0,12634.0,13667.0,15500.0,14948.0,15460.0,15584.0,15739.0,12426.0,15444.0,16490.0,16295.0,18091.0,18828.0,18778.0,18720.0,18781.0,15340.0,16309.0,17920.0,17559.0,15801.0,13867.0,17912.0,18283.0,18857.0,19999.0,20000.0,18750.0,18750.0,16941.0,17502.0,21470.0,21470.0,16100.0,21500.0,22.979333333333333,23.78225,23.5885,23.212166666666672,23.408666666666665,22.964333333333332,24.15025,24.081500000000005,23.407833333333333,23.600249999999992,23.6915,23.810250000000007,23.19966666666667,23.673000000000002,24.013916666666663,24.11475,23.52241666666667,23.543916666666664,23.372333333333334,23.599416666666666,24.11566666666667,23.090749999999996,23.73425,24.470916666666668,23.96375,23.414833333333334,24.407416666666666,23.41725,23.697583333333338,23.626083333333337,24.28825,24.759,24.263833333333334,23.8045,23.820083333333333,24.376583333333333,23.726666666666663,23.81833333333333,24.188583333333337,23.615416666666672,23.991500000000002,24.46575,22.817749999999997
81,Romania,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-3431.6096479999997,-3093.482422,-2217.811016,-2505.6154300000003,395.72882810000004,393.55966800000004,282.32921880000004,340.3822266,593.4315625,767.4618555,149.2448438,330.0710352,311.580332,392.88113280000005,459.77543949999995,-8001.830254,669.4397852000001,1815.502539,1405.862683,2669.181477,1380.883047,1552.272266,1392.631875,1047.928516,896.2323828,1639.089727,837.4205937,-300.02092189999996,-697.2639999999999,316.99127339999995,-1052.218734,-2591.380328,-3107.33225,-1916.253886,-1035.1151949999999,-2238.636539,-4777.553734,28.10045312,597.1587695000001,3147.0279100000002,-1511.498457,Total greenhouse gas emissions (kt of CO2 equivalent),185193.514,199678.6,203754.525,218145.21600000001,236190.076,245960.89800000002,263438.368,269314.86600000004,266432.966,269640.835,268316.331,278659.2,270755.071,270433.443,273743.387,271783.438,284585.50899999996,278926.55100000004,247279.3403,204626.05899999998,186159.772,174503.319,170925.428,177197.35600000003,181831.133,167308.766,147443.81,129620.602,132627.536,137737.591,135160.393,141128.161,139881.565,139578.1707,144382.55,141043.059,136834.935,119648.2095,117930.698,126194.4156,121762.2251,9571.0,7336.0,7298.0,6946.0,12167.0,9216.0,8184.0,8849.0,8555.0,7081.0,9373.0,7139.0,10570.0,7436.0,9359.0,9622.0,10170.0,7994.0,8452.0,14102.0,11737.0,11208.0,13003.0,13881.0,12766.0,14170.0,13501.0,13946.0,9434.0,11076.0,18552.0,11056.0,12815.0,11435.0,11974.0,14901.0,19158.0,18424.0,19393.0,15241.0,10660.0,14814.0,9.097416666666666,9.288,8.684166666666666,9.130916666666666,9.679083333333333,8.195583333333333,9.324499999999999,8.360499999999998,9.396666666666665,8.076916666666666,9.002,9.054416666666667,9.514416666666666,9.080333333333332,7.914416666666665,8.936416666666668,8.656,9.078333333333333,9.67875,10.226,8.728166666666665,9.562583333333334,8.862916666666669,10.609,9.138749999999998,8.649416666666665,8.523666666666667,9.178416666666669,10.091000000000001,10.472249999999999,9.638583333333335,10.392666666666665,9.340166666666667,9.558166666666667,9.123166666666664,9.469,10.868333333333332,10.460999999999999,10.470666666666668,9.851666666666665,9.569,10.301083333333331,11.6455
82,Rwanda,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-151.289352,-131.8192507,-120.72174840000002,-127.5935406,-89.52787482,-87.72924137,-74.64078696,-46.74713472,-36.28598022,67.22138548,72.60984758,122.9860933,257.2278445,257.8410681,272.4941101,134.3204122,267.0373434,265.5620735,439.7010943,417.0104951,425.9002745,465.6396301,493.8846202,461.64267069999994,471.69830379999996,349.9440454,1903.1121190000001,1047.106994,1261.267184,3.073574432,635.7947313999999,460.3401004,871.5148965,480.6673054,327.7817604,69.88906924,220.8962444,507.59249270000004,830.7192411,812.6869887999999,768.8231217,Total greenhouse gas emissions (kt of CO2 equivalent),2040.8339999999998,2121.0505,2086.8027,2183.61,2188.8246,2275.6962,2370.3457,2388.304,2448.6557,2630.5502,2727.4538,2854.8172,3026.5805,3207.3185,3202.699,3272.0663,3307.3324,3475.6929999999998,3251.96376,3317.3907,3365.9133,3161.5389,3053.5275,3231.6846,3420.3991,3682.836,5454.0444,4837.2697,4900.3316,3924.0208,4806.285,4793.8085,5635.3957,4963.9625,5021.6608,4904.6175,5183.7427,5967.061925999999,6547.474913,6620.246701,6689.948897,7273.0,7500.0,7692.0,10000.0,10667.0,11250.0,12500.0,12941.0,12941.0,12778.0,13333.0,13158.0,13472.0,15385.0,15000.0,14762.0,13913.0,13750.0,13600.0,13462.0,13432.0,13333.0,13372.0,13351.0,13334.0,13349.0,13339.0,13329.0,13314.0,13314.0,13448.0,13303.0,13571.0,13273.0,13559.0,13126.0,12895.0,12704.0,12500.0,12284.0,11111.0,11869.0,18.911333333333335,19.45175,19.539833333333338,19.14291666666667,19.148666666666667,19.281499999999998,19.59325,19.5185,19.56525,19.771083333333333,19.582333333333334,19.547083333333333,19.968833333333333,19.498166666666666,19.46183333333333,19.632749999999998,20.166249999999998,19.78475,19.187416666666667,19.545833333333334,19.38075,19.691999999999997,19.693500000000004,19.712416666666666,19.9635,19.477416666666667,19.95575,19.951833333333337,19.508833333333335,19.753083333333333,19.66125,19.94725,20.094333333333335,20.08491666666667,20.432583333333337,20.162833333333335,19.76325,19.730499999999996,20.022666666666666,20.267083333333336,19.77375,19.959416666666666,20.103874999999995
83,Senegal,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",14.87029602,22.36032379,20.28249725,28.25797363,34.81400604,37.48148895,42.06873779,41.090506899999994,36.76045044,44.74008087,43.02617004,54.32977783,52.71002136,49.75131653,57.12116516,33.07046082,62.66907898,70.5655896,72.51970947,77.90368379,78.05921577,78.84271392,67.67214219,69.34450732,83.68489243,79.28465493,31185.692939999997,41302.54868,33703.35152,43161.02843,39332.943380000004,19699.64477,32782.39828,32858.13497,41138.018,28280.453989999998,31328.388880000002,26262.36514,30360.873110000004,29952.2399,30363.768519999998,Total greenhouse gas emissions (kt of CO2 equivalent),8042.6126,8109.7219,7852.6378,8272.2336,8527.0022,9045.9348,8844.733,9131.7728,9392.2317,9019.5803,9341.087,8926.5624,9123.9137,9316.6885,9605.729,9987.6747,9812.3734,10300.908000000001,11016.4282,10641.4706,11429.8145,11429.2015,11652.4041,12144.979,12591.4269,13138.6586,44963.523,56357.769,48632.878,58818.337999999996,55038.558,34578.804,49186.654,50288.842000000004,58446.314000000006,47429.886,51876.505,47324.75514,53407.57105,53810.04589,54185.37188,11364.0,11589.0,15217.0,1000.0,8000.0,9500.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.832416666666663,28.205583333333333,28.4645,27.5635,27.711833333333335,27.662833333333335,28.543666666666667,28.154333333333337,28.636416666666662,28.546666666666663,28.49791666666667,27.96641666666667,29.0545,28.330250000000003,28.273083333333336,28.020666666666667,28.875500000000002,28.37658333333334,28.275833333333328,28.508,28.490333333333336,28.459833333333336,28.646500000000003,28.241083333333332,28.556916666666666,28.775666666666666,28.82133333333333,29.254250000000003,28.12733333333333,28.52608333333333,28.936333333333334,28.97816666666667,28.704166666666666,28.852083333333336,28.955083333333334,28.630750000000003,28.816833333333335,28.79608333333334,28.473749999999995,29.302333333333337,28.77491666666667,28.63558333333333,29.3015
84,Singapore,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8889.471289,,-9723.124481,391.2378296,3041.0112059999997,2399.278949,2131.539111,1694.751355,3336.082165,2893.244516,5257.363981,6773.4447709999995,Total greenhouse gas emissions (kt of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49851.518,,43165.6467,44836.6314,47597.8146,48418.7996,49828.815,50059.9548,49828.21529,52731.99882,54413.55401,55910.2813,13045.0,13452.0,13477.0,13463.0,13432.0,17455.0,16556.0,12849.0,30000.0,39118.0,29333.0,11333.0,16667.0,17778.0,16667.0,17143.0,16667.0,16667.0,21667.0,17143.0,16921.0,16667.0,16667.0,16667.0,20000.0,,,18099.0,18214.0,18330.0,18445.0,18561.0,18681.0,18805.0,,19053.0,19178.0,19302.0,19426.0,19550.0,19674.0,19799.0,26.605500000000006,26.942000000000004,26.959750000000003,26.672583333333336,26.638,26.558750000000007,26.822000000000003,26.90458333333334,26.959750000000003,26.956416666666666,26.980999999999998,26.8365,27.30491666666667,26.483500000000003,26.820083333333333,26.847833333333337,27.181583333333336,27.06725,26.792333333333332,27.13,26.994083333333336,26.99741666666667,26.928833333333333,27.08775,27.0725,27.043333333333337,27.38891666666667,27.77591666666667,27.016750000000005,27.096500000000002,27.189333333333334,27.40608333333333,27.311833333333336,27.328666666666663,27.493583333333333,27.32841666666667,27.129999999999995,27.06766666666667,27.473333333333333,27.6035,27.282166666666665,27.303583333333336,27.602874999999997
85,Solomon Islands,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",7.442584782000001,6.624066205,12.352366900000002,5.012345453,3.4962889880000003,1.391585132,-45.32054364,-23.97748269,22.49076621,34.57835624,30.86825049,29.62486625,5.039383428,35.19335875,37.43239626,30.69938834,66.63145192,71.37578965,78.61820125,73.89560856,75.04819342,79.47117585,56.13414795,56.07733754,54.40492041,76.19031778,56.93597587,63.76870713,126.50636750000001,112.75615060000001,167.549373,181.4268655,203.9445022,134.06400490000001,160.1021293,253.35224100000002,255.6606557,232.4250017,228.15603900000002,225.0351679,228.5238972,Total greenhouse gas emissions (kt of CO2 equivalent),3818.4854,4108.6918,4068.8964,4394.4279,4438.5594,4732.4363,5352.181,5026.8092,5609.9755,5758.598000000001,5904.653,5810.019,5642.5509999999995,6255.539000000001,5953.471,6433.825,6643.738,6079.793000000001,5903.5019999999995,4415.8561,3295.3886,3532.8114,3811.9187,3885.2756,4053.1942,4059.3587,3887.4294,3784.0526,4086.0635,4147.1425,4329.7699,4401.7588,4422.7358,4323.8015,4336.3667,4406.1073,4411.7304,4419.517056000001,4479.829996,4536.577382,4591.464527,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,8173.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,9167.0,8951.0,8690.0,8713.0,8726.0,26.497000000000003,26.457916666666666,27.038416666666667,26.803666666666672,26.747416666666666,26.632416666666668,26.857416666666666,26.92441666666667,26.954916666666662,26.941166666666664,27.066916666666668,26.74025,26.987250000000003,26.896416666666667,27.013499999999997,27.024333333333335,26.955416666666668,27.27958333333333,26.991916666666665,27.264916666666675,26.993416666666665,27.00191666666667,26.780999999999995,26.79308333333334,27.2005,27.124916666666667,26.95041666666667,27.374333333333336,26.994250000000005,27.264750000000003,27.448333333333338,27.37541666666667,27.379750000000005,27.178583333333336,27.383333333333336,27.207416666666663,27.321416666666675,27.183916666666665,27.387833333333337,27.586250000000003,27.23575,27.179999999999996,27.210250000000002
86,Sierra Leone,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",3467.2086979999995,3778.429696,3069.321724,3215.992815,3268.199882,3787.3124840000005,3273.8888100000004,3564.7080170000004,4360.097259,3656.092533,4176.411339,3909.22582,3908.731222,3602.953379,3662.832761,3604.4111380000004,3622.0369939999996,3876.6633119999997,4841.862494,3919.9761770000005,4366.935347,4109.904551,4142.049229,4586.771712,4485.321396,4520.556357,14326.61865,20921.83648,10921.94112,27506.047019999998,18156.9272,16330.913859999999,16530.261759999998,10835.429090000001,20597.665569999997,19071.0906,23991.58879,9986.908537000001,5677.927108,5668.33906,5671.202814,Total greenhouse gas emissions (kt of CO2 equivalent),7290.7966,7712.6604,6657.3335,6988.3905,7199.2929,8023.5503,7272.0556,7737.4654,8980.0854,7885.5052,8680.3349,8171.799,7939.1211,7590.0072,7757.2588,8005.749,7967.2976,8358.9333,9628.770868000001,8258.26216,8799.0731,8430.2212,8296.1596,8960.4197,8920.9573,9166.1849,18981.615,25037.1383,14763.8481,32393.5922,22463.6343,20892.186999999998,21206.3301,14869.1843,26983.2073,28565.22,33083.703,17509.10384,11647.49051,11731.166159999999,11810.88702,,,,10674.0,13406.0,14456.0,12970.0,10567.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10909.0,10833.0,10833.0,10833.0,10833.0,10833.0,10960.0,11754.0,11667.0,9893.0,8593.0,6667.0,6922.0,6667.0,5000.0,5387.0,5264.0,5000.0,4909.0,5000.0,5000.0,5000.0,5000.0,5000.0,4933.0,5000.0,5357.0,5150.0,25.93416666666666,26.28933333333333,26.656250000000004,26.150000000000002,26.041583333333335,25.845249999999997,26.378333333333334,26.268166666666662,26.554166666666664,26.494,26.357833333333335,26.254416666666668,26.65341666666667,26.402916666666666,26.28925,26.075750000000003,26.883499999999998,26.544916666666666,26.362333333333336,26.55141666666667,26.62158333333333,26.397166666666667,26.608833333333337,26.35825,26.57816666666667,26.7045,26.6695,27.07575,26.521500000000003,26.54683333333333,26.82675,26.99266666666667,26.992416666666667,26.978916666666667,27.028583333333334,26.71775,26.83741666666667,26.978749999999994,26.985000000000003,27.177166666666675,26.92625,26.676416666666668,26.948
87,El Salvador,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",26.49342957,43.90762756,46.37243652,49.48961029,63.53347717,80.31868347,99.99477478,101.7153325,115.2443621,84.67498047,88.72861633,81.11397339,78.25071319999999,97.92320862,91.77131714,-280.2797113,96.88771851,93.31023865,98.89496611,109.99052579999999,93.6680989,140.72552240000002,159.1142994,170.3313479,140.49181030000003,151.23793700000002,228.56952030000002,305.60026560000006,437.4169592,793.7609912,397.3233718,222.52695950000003,479.1147273,142.6398081,-189.6497041,-133.33500759999998,463.32256639999997,584.7378767999999,958.1813569,1002.292518,1063.995209,Total greenhouse gas emissions (kt of CO2 equivalent),5292.4863,5383.5558,5490.0872,5835.5969,6100.5612,6504.0817,6909.3793,6630.9574,5907.656999999999,5803.8731,5329.2142,5453.8821,5353.7705,5788.7871,5728.0318,5947.5337,6411.8905,6398.644,6685.7082009999995,7558.800081999999,8044.88808,8323.3196,9025.1887,9244.0507,9079.1212,10076.6089,10166.6802,10405.9039,10344.8258,11360.9979,11242.8073,11251.2782,11578.8968,11528.2484,11690.5465,12085.9588,11979.6733,11911.5615,11978.85339,12293.60687,12577.78974,16364.0,16955.0,17000.0,16450.0,15916.0,15635.0,15200.0,17077.0,17099.0,18399.0,17808.0,20812.0,19059.0,18256.0,19428.0,18745.0,15968.0,12500.0,13167.0,12857.0,12920.0,12982.0,12931.0,14762.0,18503.0,18503.0,17897.0,18333.0,18103.0,18333.0,18496.0,18704.0,18897.0,19076.0,19359.0,19535.0,19705.0,19870.0,20030.0,20187.0,20364.0,20507.0,24.874166666666667,25.566833333333335,25.323000000000004,24.886250000000004,24.992250000000002,24.911249999999995,25.400166666666667,25.325083333333335,25.341333333333328,25.42766666666667,25.063166666666664,25.41925,25.797083333333333,24.943083333333334,25.137249999999998,25.15325,25.736833333333333,25.47375,25.204333333333338,25.566499999999994,25.64075,25.78191666666667,25.663083333333336,25.913166666666665,25.734083333333334,25.354416666666665,26.035750000000004,26.131083333333333,25.27958333333333,25.40716666666667,25.49291666666667,25.71041666666667,25.724083333333336,25.74258333333334,25.622833333333332,25.758499999999998,25.475166666666663,25.248250000000002,25.787583333333334,25.45866666666667,25.549666666666667,25.560333333333332,25.91077777777778
